"Geslacht";"Leeftijd";"Migratieachtergrond";"Regio's";"Perioden";"Voortgezet onderwijs/Totaal voortgezet onderwijs (aantal)";"Voortgezet onderwijs/Vmbo (aantal)";"Voortgezet onderwijs/Havo (aantal)";"Voortgezet onderwijs/Vwo (aantal)";"Middelbaar beroepsonderwijs/Totaal Mbo (aantal)";"Middelbaar beroepsonderwijs/Entreeopleiding (niveau 1) (aantal)";"Middelbaar beroepsonderwijs/Mbo niveau 2-4 (aantal)";"Hoger beroepsonderwijs/Hbo (aantal)";"Wetenschappelijk onderwijs/Wo bachelor (aantal)";"Wetenschappelijk onderwijs/Wo master/doctoraal (aantal)"
"Vrouwen";"12 tot 25 jaar";"Totaal ";"Nederland";"2000/'01";;;;;;;;21440;60;6190
"Vrouwen";"12 tot 25 jaar";"Totaal ";"Nederland";"2005/'06";83510;47890;19880;15740;57220;3560;53660;21720;8730;8490
"Vrouwen";"12 tot 25 jaar";"Totaal ";"Nederland";"2006/'07";85400;48120;20940;16340;58790;3650;55140;23180;9720;8610
"Vrouwen";"12 tot 25 jaar";"Totaal ";"Nederland";"2007/'08";87070;47860;21830;17380;59800;3630;56170;24360;11000;8360
"Vrouwen";"12 tot 25 jaar";"Totaal ";"Nederland";"2008/'09";85720;46270;21010;18440;60360;3560;56790;24710;11920;8810
"Vrouwen";"12 tot 25 jaar";"Totaal ";"Nederland";"2009/'10";84190;45310;21630;17250;62620;3790;58830;25100;12960;9200
"Vrouwen";"12 tot 25 jaar";"Totaal ";"Nederland";"2010/'11";83500;43900;22010;17590;61850;3860;57990;25320;14420;10100
"Vrouwen";"12 tot 25 jaar";"Totaal ";"Nederland";"2011/'12";82540;42610;22710;17220;63540;4220;59320;26350;16870;11220
"Vrouwen";"12 tot 25 jaar";"Totaal ";"Nederland";"2012/'13";85300;44980;22900;17420;65620;4690;60920;24930;16450;10260
"Vrouwen";"12 tot 25 jaar";"Totaal ";"Nederland";"2013/'14";86420;46540;23310;16580;66100;4530;61570;25560;16300;10920
"Vrouwen";"12 tot 25 jaar";"Totaal ";"Nederland";"2014/'15";89320;48310;23540;17460;66840;3890;62950;26340;17280;11600
"Vrouwen";"12 tot 25 jaar";"Totaal ";"Nederland";"2015/'16";91640;49190;25010;17440;63700;3630;60080;26880;17380;11820
"Vrouwen";"12 tot 25 jaar";"Totaal ";"Nederland";"2016/'17";91940;49410;24510;18020;64760;3550;61210;28610;17660;12020
"Vrouwen";"12 tot 25 jaar";"Totaal ";"Nederland";"2017/'18";91680;47810;25090;18790;62720;3760;58960;29420;17530;12830
